,tmb_text,negative,neutral,positive
0,wish,0.0,0.0,1.0
1,,0.0,0.0,0.0
2,no gpu,0.688,0.312,0.0
3,onotoe,0.0,1.0,0.0
4,,0.0,0.0,0.0
5,wheel of pain,0.623,0.377,0.0
6,gpu thermal paste upgrade,0.0,1.0,0.0
7,upgrading tie mac studio e,0.0,1.0,0.0
8,playstation king is,0.0,1.0,0.0
9,beautiful ps5,0.0,0.204,0.796
10,janiz 2017 monitor 8k amd ryzen join our communiy foruml muan linustechtips com www show,0.0,0.864,0.136
11,radeon 260x r7 e review 8 unboxing,0.0,1.0,0.0
12,,0.0,0.0,0.0
13,hands on amd radeon r9 290x,0.0,1.0,0.0
14,eve sli dd,0.0,1.0,0.0
15,,0.0,0.0,0.0
16,,0.0,0.0,0.0
17,,0.0,0.0,0.0
18,,0.0,0.0,0.0
19,,0.0,0.0,0.0
20,to how watermelon skin a,0.0,1.0,0.0
21,balloons water 1800 trampoline t,0.0,1.0,0.0
22,,0.0,0.0,0.0
23,fake sse real,0.608,0.392,0.0
24,domino robot,0.0,1.0,0.0
25,,0.0,0.0,0.0
26,egg drop tricks,0.783,0.217,0.0
27,science secrets,0.0,1.0,0.0
28,stealing baseball signs steal,0.775,0.225,0.0
29,zipline,0.0,1.0,0.0
30,ice cream safe ben cos,0.0,0.58,0.42
31,,0.0,0.0,0.0
32,,0.0,0.0,0.0
33,social experiment,0.0,1.0,0.0
34,live survive how to a5 mile fall with parachute no,0.196,0.804,0.0
35,nasas pumpkin contest,0.0,1.0,0.0
36,science trick,0.545,0.455,0.0
37,live is why the sky blued,0.0,1.0,0.0
38,nedaalls,0.0,1.0,0.0
39,,0.0,0.0,0.0
40,,0.0,0.0,0.0
41,,0.0,0.0,0.0
42,,0.0,0.0,0.0
43,,0.0,0.0,0.0
44,,0.0,0.0,0.0
45,,0.0,0.0,0.0
46,circular saw ene kickback killer,0.518,0.482,0.0
47,united states coast guard aboard welcome,0.0,0.303,0.697
48,,0.0,0.0,0.0
